word,importance_score,method,label
,-7.418465535152713e-06,SHAP,disgust
 ,4.751200322061777e-09,SHAP,disgust
!,0.0012127409754488277,SHAP,disgust
! ,0.0016107182323603596,SHAP,disgust
"""",0.00040300116352050454,SHAP,disgust
""" ",0.0006866454837092663,SHAP,disgust
#,-0.0020513232141508653,SHAP,disgust
% ,-0.0010408248539079067,SHAP,disgust
& ,-0.017452963376854314,SHAP,disgust
',0.0001886039831252923,SHAP,disgust
' ,0.004729917342046974,SHAP,disgust
(,-0.004467234315299594,SHAP,disgust
),0.0005374887806315128,SHAP,disgust
) ,-0.0002924443140002059,SHAP,disgust
*,-0.0003029136513254747,SHAP,disgust
* ,0.00019805093331418295,SHAP,disgust
+ ,-0.014480856145382859,SHAP,disgust
",",-0.0007864316702277088,SHAP,disgust
", ",0.0010302638106292408,SHAP,disgust
-,0.0007167284024316089,SHAP,disgust
- ,-0.0002537741536909788,SHAP,disgust
.,0.0006636728161902222,SHAP,disgust
. ,0.0009209628941468659,SHAP,disgust
/,-0.00023024904880149678,SHAP,disgust
/ ,9.373200009576976e-05,SHAP,disgust
0,-0.0001978802065423224,SHAP,disgust
0 ,0.0005363908676372375,SHAP,disgust
00 ,0.00011777008018855537,SHAP,disgust
000 ,-0.007304527609448996,SHAP,disgust
1,-0.00041339051531394947,SHAP,disgust
1 ,-0.023279144137632102,SHAP,disgust
10,0.0001597155652840835,SHAP,disgust
10 ,-0.0038566367829722973,SHAP,disgust
100,-0.0003833519940599217,SHAP,disgust
1000 ,-0.000411706292652525,SHAP,disgust
12 ,0.002097405224048998,SHAP,disgust
15 ,-0.0001968508340723929,SHAP,disgust
16,-0.0007991941893124022,SHAP,disgust
16 ,-0.0003347169404150918,SHAP,disgust
17 ,1.0035568266175687e-05,SHAP,disgust
18,-1.8881946743931621e-06,SHAP,disgust
18 ,0.00010984673644998111,SHAP,disgust
1800 ,-0.000583430273400154,SHAP,disgust
1919,-0.0003374007705133408,SHAP,disgust
1921,-0.0005020546945161186,SHAP,disgust
1936,-0.0010542594813852616,SHAP,disgust
1980 ,-0.0002215672611782793,SHAP,disgust
1st ,-0.00012090405652998015,SHAP,disgust
2,-0.000987479959500585,SHAP,disgust
2 ,-0.003581329999347131,SHAP,disgust
20 ,0.0002739135561569128,SHAP,disgust
2005 ,-0.0019183439508196898,SHAP,disgust
2007,-0.02626125096139731,SHAP,disgust
2016,0.00039633030731541413,SHAP,disgust
2018,0.00035385166362781695,SHAP,disgust
2019,-0.0023711144549452,SHAP,disgust
21 ,0.00016895969747565687,SHAP,disgust
25,-0.001394229577272199,SHAP,disgust
25 ,0.0009696671052855284,SHAP,disgust
26,-0.000602040221565403,SHAP,disgust
27 ,-0.0003574249567463994,SHAP,disgust
28,0.0001100183799280785,SHAP,disgust
2nd ,-5.435063290600998e-05,SHAP,disgust
3,-0.0015068585587667057,SHAP,disgust
3 ,-0.008152977094596281,SHAP,disgust
300,-0.00014901569520588964,SHAP,disgust
31,0.0014446547229454154,SHAP,disgust
35,-0.01902341052846168,SHAP,disgust
3rd ,-0.0010046616898762295,SHAP,disgust
4,-0.00015413562300853383,SHAP,disgust
4 ,-0.00889480376326901,SHAP,disgust
400 ,0.00016931945756368803,SHAP,disgust
43 ,-0.00810398864268791,SHAP,disgust
48 ,-0.0009739892181338897,SHAP,disgust
49ers ,0.0001702931867839652,SHAP,disgust
5,-9.147574801318114e-05,SHAP,disgust
5 ,0.0006113693113244759,SHAP,disgust
50,-0.00108883744396735,SHAP,disgust
51,-0.0002257439004357106,SHAP,disgust
53 ,-0.0035941360983997583,SHAP,disgust
55,-0.00032162175436193746,SHAP,disgust
6,-3.737214804762819e-05,SHAP,disgust
6 ,1.2460930075677525e-05,SHAP,disgust
600 ,0.00041335890273330733,SHAP,disgust
69,-0.08154870491125621,SHAP,disgust
7,0.0003616036265157163,SHAP,disgust
7 ,-0.0005808988684293581,SHAP,disgust
