word,importance_score,method,label
,9.451774401702479e-05,SHAP,surprise
 ,5.9371814131736755e-09,SHAP,surprise
!,0.01333224833906558,SHAP,surprise
! ,0.011463615910580136,SHAP,surprise
"""",-0.0020133953961837675,SHAP,surprise
""" ",-0.002179005054278518,SHAP,surprise
#,-0.008870976456819335,SHAP,surprise
% ,0.00800276648496947,SHAP,surprise
& ,-0.0026449416570054987,SHAP,surprise
',0.002438636982727971,SHAP,surprise
' ,-0.0033479203120805323,SHAP,surprise
(,-0.003270649934906686,SHAP,surprise
),0.0006439834252731609,SHAP,surprise
) ,0.00034453966192189104,SHAP,surprise
*,-0.0009607964630367139,SHAP,surprise
* ,-0.0036671793543670596,SHAP,surprise
+ ,-0.003342552838148549,SHAP,surprise
",",-0.0036110749351792037,SHAP,surprise
", ",0.002188051902778384,SHAP,surprise
-,0.00023318034801841962,SHAP,surprise
- ,-0.001411543662225642,SHAP,surprise
.,0.0008913900922642235,SHAP,surprise
. ,0.0011945756066917086,SHAP,surprise
/,-0.004182413766604046,SHAP,surprise
/ ,-0.0003997339226771146,SHAP,surprise
0,0.004356114557594992,SHAP,surprise
0 ,0.0021978182892780753,SHAP,surprise
00 ,0.0019764332765979426,SHAP,surprise
000 ,0.013351213739952073,SHAP,surprise
1,0.001300026227060395,SHAP,surprise
1 ,0.0024152310215868056,SHAP,surprise
10,0.0037844313992536627,SHAP,surprise
10 ,0.00568078814210215,SHAP,surprise
100,0.02385823953227373,SHAP,surprise
1000 ,0.024741719404119067,SHAP,surprise
12 ,0.025492305809166282,SHAP,surprise
15 ,0.00353309069032548,SHAP,surprise
16,0.028411791659891605,SHAP,surprise
16 ,0.018103626294760033,SHAP,surprise
17 ,0.015552601500530727,SHAP,surprise
18,0.006683046114630997,SHAP,surprise
18 ,0.0034305551016586833,SHAP,surprise
1800 ,0.00019080352794844657,SHAP,surprise
1919,0.005312241503270343,SHAP,surprise
1921,0.003930206882068887,SHAP,surprise
1936,0.004406486759849247,SHAP,surprise
1980 ,0.004447882529348135,SHAP,surprise
1st ,0.022833591559901834,SHAP,surprise
2,0.0021708177713056407,SHAP,surprise
2 ,-0.0015882650411286807,SHAP,surprise
20 ,0.00810172437923029,SHAP,surprise
2005 ,0.002218424473539926,SHAP,surprise
2007,-0.007446305869962089,SHAP,surprise
2016,0.02941531562828459,SHAP,surprise
2018,0.0018758457736112177,SHAP,surprise
2019,-0.001310279403696768,SHAP,surprise
21 ,0.013692192762391642,SHAP,surprise
25,0.022498638660181314,SHAP,surprise
25 ,0.0020815173629671335,SHAP,surprise
26,0.013059096178039908,SHAP,surprise
27 ,0.008888316515367478,SHAP,surprise
28,0.006940498773474246,SHAP,surprise
2nd ,0.001602355298624995,SHAP,surprise
3,0.003463290223913241,SHAP,surprise
3 ,0.0009353753621326177,SHAP,surprise
300,0.020840067719109356,SHAP,surprise
31,0.007101822586264461,SHAP,surprise
35,0.01302906605269527,SHAP,surprise
3rd ,-0.0010168264707317576,SHAP,surprise
4,0.004461087686303515,SHAP,surprise
4 ,0.0005487592643476091,SHAP,surprise
400 ,0.00411259382381104,SHAP,surprise
43 ,-0.007671063038287684,SHAP,surprise
48 ,-0.006039417222685492,SHAP,surprise
49ers ,0.016035575408750447,SHAP,surprise
5,-0.0017982153498451226,SHAP,surprise
5 ,0.00034390819443312165,SHAP,surprise
50,0.00041317050345242025,SHAP,surprise
51,0.007554654098514999,SHAP,surprise
53 ,0.005425368144642562,SHAP,surprise
55,-0.0007001861231401563,SHAP,surprise
6,-0.00546087715823281,SHAP,surprise
6 ,0.002687375540780421,SHAP,surprise
600 ,0.008651082156575285,SHAP,surprise
69,0.005668950092513114,SHAP,surprise
7,0.0021359485981520265,SHAP,surprise
7 ,0.007871409020541857,SHAP,surprise
72 ,0.0064928896754281595,SHAP,surprise
8,-0.005277159478282556,SHAP,surprise
8 ,0.006459692343923962,SHAP,surprise
80,0.014031828613951802,SHAP,surprise
9,0.008255295586423017,SHAP,surprise
90 ,0.003816885844571516,SHAP,surprise
90s ,0.020112272279220633,SHAP,surprise
91 ,0.024537819714169018,SHAP,surprise
99 ,-0.0011171180376550183,SHAP,surprise
:,0.0004582676289525504,SHAP,surprise
: ,-0.002958815497104863,SHAP,surprise
; ,-0.0007050599087961018,SHAP,surprise
