word,importance_score,method,label
,2.0487575219611735e-05,SHAP,sadness
 ,3.4051481634378433e-09,SHAP,sadness
!,0.0009033984988002213,SHAP,sadness
! ,0.0021392695582739068,SHAP,sadness
"""",-0.00021464621985579503,SHAP,sadness
""" ",-0.0018459699605262445,SHAP,sadness
#,-0.0007447927400789922,SHAP,sadness
% ,-0.0033351806232076345,SHAP,sadness
& ,-0.0002708227275434183,SHAP,sadness
',0.00043929534009001754,SHAP,sadness
' ,0.000520213769050315,SHAP,sadness
(,0.010249275651149534,SHAP,sadness
),-0.0007857101407728531,SHAP,sadness
) ,-0.0006755828785222695,SHAP,sadness
*,-0.0006027820150530527,SHAP,sadness
* ,-0.0040228830798620645,SHAP,sadness
+ ,-0.005579446238698438,SHAP,sadness
",",-0.0011932083715995153,SHAP,sadness
", ",0.001422510314796191,SHAP,sadness
-,-0.00027738673274537633,SHAP,sadness
- ,-0.0007742685468303757,SHAP,sadness
.,0.0007315589930361861,SHAP,sadness
. ,0.0014153210554314916,SHAP,sadness
/,0.000558548935010317,SHAP,sadness
/ ,0.006107345878263004,SHAP,sadness
0,0.03891886723431526,SHAP,sadness
0 ,0.0006426517138606869,SHAP,sadness
00 ,0.001253529410210571,SHAP,sadness
000 ,0.004923880362184718,SHAP,sadness
1,-0.00185952074567063,SHAP,sadness
1 ,0.0022817611024947837,SHAP,sadness
10,-0.0014817352104425179,SHAP,sadness
10 ,3.6150338710285715e-05,SHAP,sadness
100,-0.0004010888424090808,SHAP,sadness
1000 ,0.00040327526221517473,SHAP,sadness
12 ,0.007239685197419021,SHAP,sadness
15 ,0.001321762372754165,SHAP,sadness
16,0.02683007507584989,SHAP,sadness
16 ,8.263585186796263e-05,SHAP,sadness
17 ,0.004090596965397708,SHAP,sadness
18,0.0022024907290566866,SHAP,sadness
18 ,0.0031792871523066424,SHAP,sadness
1800 ,-0.001052076232735999,SHAP,sadness
1919,0.0017774208659830037,SHAP,sadness
1921,0.0017193507352203596,SHAP,sadness
1936,0.001138735561177046,SHAP,sadness
1980 ,0.00012130285904277116,SHAP,sadness
1st ,-0.000363049577572383,SHAP,sadness
2,0.001929083140566945,SHAP,sadness
2 ,0.0041564030469291744,SHAP,sadness
20 ,0.0008426443582720822,SHAP,sadness
2005 ,0.002959344594273716,SHAP,sadness
2007,0.05120741196151357,SHAP,sadness
2016,0.003364382491175396,SHAP,sadness
2018,0.0016189451077176877,SHAP,sadness
2019,0.0029924074551672675,SHAP,sadness
21 ,0.0015824670117581263,SHAP,sadness
25,0.0002512538048904389,SHAP,sadness
25 ,0.0023207446186764478,SHAP,sadness
26,-0.0005558169796131551,SHAP,sadness
27 ,0.0021504334290511906,SHAP,sadness
28,0.002766858131508343,SHAP,sadness
2nd ,-0.00125088546199203,SHAP,sadness
3,-0.00016984090984300976,SHAP,sadness
3 ,-0.005277124038457259,SHAP,sadness
300,-2.1778902737423775e-05,SHAP,sadness
31,0.002044611239398364,SHAP,sadness
35,-0.0018282265373272821,SHAP,sadness
3rd ,-0.0013587779430963565,SHAP,sadness
4,0.0008106768517228332,SHAP,sadness
4 ,-0.013931156482613005,SHAP,sadness
400 ,0.00075748363888124,SHAP,sadness
43 ,-0.0016700932173989713,SHAP,sadness
48 ,-0.000956175367415805,SHAP,sadness
49ers ,0.0022547878561454127,SHAP,sadness
5,-0.0007274191459146096,SHAP,sadness
5 ,-0.0013765776687553928,SHAP,sadness
50,-0.001881568250246346,SHAP,sadness
51,-4.668968696413297e-05,SHAP,sadness
53 ,-0.00038346574001479894,SHAP,sadness
55,-0.0008158263517543674,SHAP,sadness
6,0.0016255211412499193,SHAP,sadness
6 ,0.00012748777699016502,SHAP,sadness
600 ,0.0019645627835416235,SHAP,sadness
69,-0.03384842969535384,SHAP,sadness
7,0.0005747879768023267,SHAP,sadness
7 ,0.0016617284459546986,SHAP,sadness
72 ,-0.004538276527455309,SHAP,sadness
8,0.009225932706613094,SHAP,sadness
8 ,0.0013449085963657126,SHAP,sadness
80,-0.0010120419756276533,SHAP,sadness
9,-0.00014314921645564027,SHAP,sadness
90 ,0.0011973840373684652,SHAP,sadness
90s ,0.0006189632185851224,SHAP,sadness
91 ,0.00946879345428897,SHAP,sadness
99 ,-0.0004459513002075255,SHAP,sadness
:,0.01065561699833779,SHAP,sadness
: ,-0.0029391367927658666,SHAP,sadness
; ,0.0026166095994994976,SHAP,sadness
<,0.0010585260315565392,SHAP,sadness
=,0.00019415959832258523,SHAP,sadness
= ,0.000335166318109259,SHAP,sadness
>,-0.0013206076589456104,SHAP,sadness
> ,-0.006459080658714811,SHAP,sadness
?,-0.009335758356446016,SHAP,sadness
? ,-0.0038920204298017033,SHAP,sadness
@ ,0.003070955499424599,SHAP,sadness
A,-0.0002827162507552809,SHAP,sadness
A ,-0.0028637789895121445,SHAP,sadness
AAA,-0.0023778778413543478,SHAP,sadness
AD ,-0.013014656363520772,SHAP,sadness
ADOPTED,-0.0025120268983300775,SHAP,sadness
AG,0.01154244106146507,SHAP,sadness
AIR ,0.003635973705968354,SHAP,sadness
AK,-7.118293225565658e-05,SHAP,sadness
AL ,-0.0009276607524952851,SHAP,sadness
ALL ,0.021288996576913632,SHAP,sadness
ALLEN ,0.0005089255864731967,SHAP,sadness
AM ,0.0004751243322971277,SHAP,sadness
AND ,-0.002120884779287735,SHAP,sadness
AR ,-0.000581321870413376,SHAP,sadness
AS,-0.00015856895952310877,SHAP,sadness
ASS ,0.007881080420702347,SHAP,sadness
AZ,0.0015522622401476839,SHAP,sadness
Absolutely,0.0007912306755315512,SHAP,sadness
Absolutely ,0.0013998983340570703,SHAP,sadness
Actually ,0.00048751589201856405,SHAP,sadness
African ,-0.017750125538441353,SHAP,sadness
After ,0.00010952297452604398,SHAP,sadness
Agreed,-0.0012766307772835717,SHAP,sadness
Ah ,0.003762231391899857,SHAP,sadness
All ,0.022735123241242643,SHAP,sadness
Alpha,-0.005502694184542634,SHAP,sadness
Alright,-0.020246955624315888,SHAP,sadness
Alright ,-0.001832022680900991,SHAP,sadness
Also,-0.00024207422393374145,SHAP,sadness
Also ,0.00042760830001498107,SHAP,sadness
Although ,0.004203313803373021,SHAP,sadness
Always ,-0.01062859698140528,SHAP,sadness
Am,0.012009680089249741,SHAP,sadness
Am ,0.0370456087985076,SHAP,sadness
America,0.004263057826998799,SHAP,sadness
America ,0.0006272488906688522,SHAP,sadness
American ,0.0010840096215057808,SHAP,sadness
Amsterdam ,-0.0035123391571687534,SHAP,sadness
And ,0.001568124807690446,SHAP,sadness
Another ,0.010052010344224982,SHAP,sadness
Any ,-0.015545119422313292,SHAP,sadness
Anyway,0.00257474534373614,SHAP,sadness
Apparently ,0.0023540160109405406,SHAP,sadness
Apple,0.00032873492697641876,SHAP,sadness
Are ,-0.005998638887831476,SHAP,sadness
Area ,-6.650079012615606e-05,SHAP,sadness
Arizona ,0.021013388213759754,SHAP,sadness
Arrested ,0.0030865099834045395,SHAP,sadness
As ,-0.002026351448044547,SHAP,sadness
Ash,0.0023863562382757664,SHAP,sadness
Asian ,0.0015209905286610592,SHAP,sadness
Ask ,-0.0026933068147627637,SHAP,sadness
At ,-0.0006638860559178283,SHAP,sadness
Ate ,0.06573970179306343,SHAP,sadness
Australia,0.004199864881229587,SHAP,sadness
Aw,0.009368309421309581,SHAP,sadness
Aw ,0.031347878684755415,SHAP,sadness
Awesome ,-0.0013026454301628594,SHAP,sadness
B,0.000962183282050925,SHAP,sadness
BB,4.152082328801043e-05,SHAP,sadness
BBC ,4.6586683311033994e-05,SHAP,sadness
BE ,-0.0011090909101767465,SHAP,sadness
BECAUSE ,0.0020032124084536918,SHAP,sadness
BF,-0.0024255377575173043,SHAP,sadness
BI ,-0.004016574734123424,SHAP,sadness
BOYS ,-0.0007865570369176567,SHAP,sadness
BROWN ,-0.0007485201931558549,SHAP,sadness
Babylon ,-0.002434968890156597,SHAP,sadness
Bae❤️,0.006561327762028668,SHAP,sadness
Ball ,-0.0015644741943106055,SHAP,sadness
Based ,0.0003040425217477605,SHAP,sadness
Bay ,0.0012551520849228837,SHAP,sadness
Beach ,-0.01441053693270078,SHAP,sadness
Beauty ,-0.0011275717406533659,SHAP,sadness
Because ,0.001275748662010301,SHAP,sadness
Bedside ,0.0017148910483228974,SHAP,sadness
Bee ,-0.002922598272562027,SHAP,sadness
Been ,0.0014150266943033785,SHAP,sadness
Behavior ,0.0029447991400957108,SHAP,sadness
Being ,-0.011364816222339869,SHAP,sadness
Besides,-0.0011047473235521466,SHAP,sadness
Best ,-0.0010317740907339612,SHAP,sadness
Better ,-0.006893107609357685,SHAP,sadness
Big ,-0.0022416494102799334,SHAP,sadness
Blind ,0.032237919527688064,SHAP,sadness
Boom,-0.0022913868160685524,SHAP,sadness
Boston ,-0.002753639593720436,SHAP,sadness
Both ,0.0003083151314058341,SHAP,sadness
Br,-0.001135178521508351,SHAP,sadness
Bra,-0.0027561875758692622,SHAP,sadness
Brave ,-0.0007174024358391762,SHAP,sadness
Brian,9.956260328181088e-05,SHAP,sadness
Bridge,0.0003180234780302271,SHAP,sadness
Brit,5.146145122125745e-05,SHAP,sadness
British ,-0.0028906979205203243,SHAP,sadness
Bro,0.07015798453358002,SHAP,sadness
Brooklyn,-0.007665371151233558,SHAP,sadness
Brooklyn ,0.0004501067742239684,SHAP,sadness
Brussels ,-0.00023977196724445093,SHAP,sadness
Bt,-0.0049755071522668,SHAP,sadness
Bulls ,0.0007736871048109606,SHAP,sadness
Buster,0.0001271485525649041,SHAP,sadness
But ,0.006592719871453785,SHAP,sadness
C ,-0.003422997961024521,SHAP,sadness
CBC,-0.00030991989478934556,SHAP,sadness
COOKIE ,-0.00040377508412348107,SHAP,sadness
COW,3.5277087590657175e-05,SHAP,sadness
CP,-0.002651620928580607,SHAP,sadness
CRAB ,5.555209281737916e-05,SHAP,sadness
Cake,-0.0003729278178070672,SHAP,sadness
California,-0.0025410003581782803,SHAP,sadness
Calm ,-0.00033495626121293753,SHAP,sadness
Can,0.011219816340599209,SHAP,sadness
Can ,-0.002843402740836609,SHAP,sadness
Canada ,-0.02393061317707179,SHAP,sadness
Careful,0.003832525108009577,SHAP,sadness
Case ,-0.003160706744529307,SHAP,sadness
Catch ,-0.003878666539094411,SHAP,sadness
Cats,-0.0004262581787770614,SHAP,sadness
Celtics ,0.0007026527237030677,SHAP,sadness
Chan,4.331172167439945e-05,SHAP,sadness
Chicken ,9.385832527186722e-06,SHAP,sadness
Chill ,0.012688464834354818,SHAP,sadness
China,0.0001494824032609662,SHAP,sadness
Christmas ,0.010737669945228845,SHAP,sadness
Civilizations,-0.003455016267253086,SHAP,sadness
Clean ,0.0020320306211942807,SHAP,sadness
Coach ,0.0007121076923795044,SHAP,sadness
Colts ,-0.017121982979006134,SHAP,sadness
Come ,-0.001777576093445532,SHAP,sadness
Cong,-0.009823789390793536,SHAP,sadness
Congress ,-0.002527390686736908,SHAP,sadness
Cool,-0.0018278255916407537,SHAP,sadness
Could ,-0.0004218705616949592,SHAP,sadness
County,0.0021116891330166254,SHAP,sadness
Coyotes ,0.00174610726753599,SHAP,sadness
Crazy ,-0.001779057492967695,SHAP,sadness
Crimson,-0.00018629170408530625,SHAP,sadness
Cs ,-0.007571772104711272,SHAP,sadness
Cut ,0.01002680575766135,SHAP,sadness
D,-0.0027984871785087136,SHAP,sadness
D ,-0.0008885086475250622,SHAP,sadness
DC ,-0.00012108833470847458,SHAP,sadness
DESERVE ,0.006238251109607518,SHAP,sadness
DIT,0.0042947779475071,SHAP,sadness
DON,0.010337427287595347,SHAP,sadness
DT ,-6.579417822649702e-05,SHAP,sadness
Dallas ,0.001415336737409234,SHAP,sadness
Damn,0.0021507871570065618,SHAP,sadness
Damn ,0.029597747611114757,SHAP,sadness
Dave ,-0.00011658640869427472,SHAP,sadness
Day ,0.0003213484609053315,SHAP,sadness
De,0.0009686884841357823,SHAP,sadness
Dear ,0.013443428819300607,SHAP,sadness
Define ,-0.0029018337081652135,SHAP,sadness
Definitely,-0.05763679675389236,SHAP,sadness
Deluxe ,4.873859870713204e-05,SHAP,sadness
Dem,0.0005715211445931345,SHAP,sadness
Democrats ,0.0024084129399852827,SHAP,sadness
Demolition ,0.00037286008446244526,SHAP,sadness
Desperate ,0.022248091603008408,SHAP,sadness
Detroit,-8.339824853464961e-05,SHAP,sadness
Detroit ,0.0006687342247460037,SHAP,sadness
Development,-0.0006480561278294772,SHAP,sadness
Did ,-0.002770122390575125,SHAP,sadness
Didn,0.0004352609163712864,SHAP,sadness
Do,-4.740822623716667e-05,SHAP,sadness
Do ,0.0005648471324093407,SHAP,sadness
Does ,-0.0001209992915391922,SHAP,sadness
Doesn,0.0027553724363921597,SHAP,sadness
Dog,0.0004443365110394855,SHAP,sadness
Dog ,-0.0001734466350171715,SHAP,sadness
Don,-0.01586965918964038,SHAP,sadness
Donald,-0.001282274752156809,SHAP,sadness
Drugs ,0.0026740507091744803,SHAP,sadness
Dude ,-0.0018486637479024164,SHAP,sadness
E,0.004404691731906496,SHAP,sadness
E ,-0.0004659372378747711,SHAP,sadness
EF,0.00021662760264007375,SHAP,sadness
EN,-0.00011883396158130684,SHAP,sadness
EU ,-0.0004673619114328176,SHAP,sadness
EVER ,0.0019762078736675903,SHAP,sadness
EXIST,-0.0013183185471765076,SHAP,sadness
Ea,-0.00018629170408530625,SHAP,sadness
Earth,0.0015234871534630656,SHAP,sadness
Edit,-0.0007858209030625101,SHAP,sadness
Edit ,-0.0008940165641563778,SHAP,sadness
Eh,0.0020706936775241047,SHAP,sadness
Emotionally,0.2776069656392792,SHAP,sadness
En,8.869853748668297e-05,SHAP,sadness
End ,-0.008513709668477532,SHAP,sadness
English ,0.0026412811331990977,SHAP,sadness
Equally,-0.0004634687890453885,SHAP,sadness
Especially ,0.0005701541595044546,SHAP,sadness
Este,-0.00024144904455170035,SHAP,sadness
Europe,0.005582972138654441,SHAP,sadness
Europe ,0.0029656547703780234,SHAP,sadness
Even ,0.005585079571877335,SHAP,sadness
Every ,0.003238855169911403,SHAP,sadness
Everybody ,0.0036864071735180914,SHAP,sadness
Everyone,-0.008463127916911617,SHAP,sadness
Everything ,0.017104659193137195,SHAP,sadness
Exactly,-0.06663187476806343,SHAP,sadness
Excellent ,-0.0009547608788125217,SHAP,sadness
Except ,0.0029175386152928695,SHAP,sadness
F,-0.002662989967575413,SHAP,sadness
F ,0.0009884114006126765,SHAP,sadness
FAULT ,0.37659767334116623,SHAP,sadness
FEEL,0.0447602051353897,SHAP,sadness
FFIN ,0.0006262898095883429,SHAP,sadness
FIRED ,-0.00030930583307053894,SHAP,sadness
FP ,-0.0001135264705226291,SHAP,sadness
Facebook ,7.179781823651865e-05,SHAP,sadness
Fair ,-0.010352888776651525,SHAP,sadness
Fake ,0.03607357237342512,SHAP,sadness
Fame ,0.00036347595050756354,SHAP,sadness
Famous ,-0.0006950280803721398,SHAP,sadness
Fans ,-0.0005498948012245819,SHAP,sadness
Far,0.1188840176910162,SHAP,sadness
Far ,-0.035623204326839186,SHAP,sadness
Fingerprints ,0.0033265734164160676,SHAP,sadness
Flu,0.0015016008583188523,SHAP,sadness
Fm,0.0093469048733823,SHAP,sadness
Follow ,-0.00862656137906015,SHAP,sadness
For ,-0.0008528716862201691,SHAP,sadness
Former ,0.001346458913758397,SHAP,sadness
Fort,-0.000890732468784942,SHAP,sadness
Found ,-0.0011451229074737057,SHAP,sadness
Four ,0.003243626040784875,SHAP,sadness
From ,-0.0006965058091736864,SHAP,sadness
Fuck ,0.012913346552522853,SHAP,sadness
Full ,-0.0011464065755717456,SHAP,sadness
Fun ,-0.0002932731295004487,SHAP,sadness
Funny ,0.0017304485954809934,SHAP,sadness
G,-6.579417822649702e-05,SHAP,sadness
G ,-0.00015690203035774173,SHAP,sadness
GANGSTER,-0.0005493362277775304,SHAP,sadness
GH,0.005596202761807945,SHAP,sadness
GM ,0.001227987104357453,SHAP,sadness
GO,0.000907316934899427,SHAP,sadness
GONE ,0.010337817264371552,SHAP,sadness
GONNA ,0.00117586232706041,SHAP,sadness
GUN ,0.0014906152136973105,SHAP,sadness
Ga,0.03771898802369833,SHAP,sadness
Georgia,0.002237007603980601,SHAP,sadness
Get ,-0.003725782911715214,SHAP,sadness
Gets ,-0.0016327084304066375,SHAP,sadness
Getting ,0.04182894426412531,SHAP,sadness
Giant ,0.000151280481077265,SHAP,sadness
Gill,-0.0070783470291644335,SHAP,sadness
Girl ,-0.0004367247505191093,SHAP,sadness
Given ,-0.0008993209776235744,SHAP,sadness
Gives ,0.0037262380457832476,SHAP,sadness
Glad ,-0.026088073640494258,SHAP,sadness
Go ,-0.006070328866876984,SHAP,sadness
Gonna ,-0.02420514067489421,SHAP,sadness
Good ,-0.04006832084087364,SHAP,sadness
Gotta ,-0.00861846404344154,SHAP,sadness
